Procol Harum,Whiter Shade Of Pale,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,35.0,35.0
Psy,Gangnam Style,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0,38,2,22.0,4.0
Queen,Bohemian Rhapsody,29,22,10,2,9,19,11,6,5,3,8,5,0,6,3,1,8,2,11,11,5,8,677,21,8.761904761904763,1.0
Queen,Don't Stop Me Now,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,8,0,38,2,22.0,8.0
Queen,I Want To Break Free,14,10,26,29,16,15,14,24,17,10,9,9,15,29,6,6,14,8,28,15,24,5,559,22,15.590909090909092,5.0
Queen,We Are The Champions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,35,0,7,2,37.5,35.0
Rag'N'Bone Man,Human,0,0,0,0,0,0,0,0,0,0,0,0,0,17,35,0,0,0,0,0,0,0,30,2,26.0,17.0
Rick Astley,Never Gonna Give You,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,12,0,36,0,38,3,28.333333333333332,12.0
Righteous Bros.,Unchained Melody,0,0,0,0,0,0,0,0,0,0,0,28,0,0,30,0,29,0,0,24,29,0,65,5,28.0,24.0
Robbie Williams,Angels,4,4,2,5,3,12,3,9,13,8,11,22,34,10,9,7,2,19,29,19,11,12,654,22,11.272727272727273,2.0
Robbie Williams,Candy,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,16,1,25.0,25.0
Robin Thicke,Blurred Lines,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,20,1,21.0,21.0
Rod Stewart,Maggie May,0,0,0,0,31,23,17,35,23,11,10,40,8,12,24,22,36,21,6,11,34,0,333,17,21.41176470588235,6.0
Rod Stewart,Sailing,18,18,32,17,37,0,27,17,0,20,17,25,37,19,25,17,23,26,38,0,17,0,308,18,23.88888888888889,17.0
Sam Smith,Stay With Me,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,21,1,20.0,20.0
Shaboozey,A Bar Song (Tipsy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,1,23.0,23.0
Simon & Garf.,Bridge Over Water,30,0,0,20,0,0,34,19,14,9,16,12,0,13,14,25,26,5,9,18,19,3,411,17,16.823529411764707,3.0
Snow Patrol,Chasing Cars,0,0,0,15,22,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,59,4,26.25,15.0
Stevie Wonder,I Just Called Love,36,0,0,0,0,0,22,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,30,3,31.0,22.0
Strauss,Blue Danube,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3,1,38.0,38.0
Susan Boyle,I Dreamed A Dream,0,0,0,0,0,0,6,10,25,36,40,0,0,0,0,0,0,0,0,0,0,0,88,5,23.4,6.0
Take That,Rule the World,0,0,0,0,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,32.5,28.0
Take That,The Flood,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,31.0,31.0
The Killers,Mr Brightside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,30,36,0,28,3,31.666666666666668,29.0
The Pogues,Fairytale of New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11,1,30.0,30.0
Tina Turner,(Simply) The Best,6,6,20,12,5,4,12,12,8,24,0,0,0,0,0,0,7,0,0,0,33,11,373,13,12.307692307692308,4.0
Tom Jones,Delilah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,1,24.0,24.0
Tom Jones,Green Green Grass,13,13,38,0,10,22,32,34,34,0,0,0,0,0,0,0,0,0,0,0,37,0,136,9,25.88888888888889,10.0
Tony Christie,Is This The Way To Amarillo,0,1,15,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,88,4,19.0,1.0
U2,With or Without You,0,0,27,0,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,29.333333333333332,21.0
UB40,Red Red Wine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Vera Lynn,We'll Meet Again,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Westlife,Flying Without Wings,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,16.0,16.0
Westlife,You Raise Me Up,0,39,6,6,4,11,13,30,28,40,0,0,0,0,0,0,10,0,0,23,0,0,241,11,19.09090909090909,4.0
Wham!,Last Christmas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34,1,7.0,7.0
Whitney Houston,I Will Always Love You,0,28,0,28,0,0,0,0,7,15,36,0,18,11,10,19,37,38,0,15,36,12,264,14,22.142857142857142,7.0
